step,no_clipping,clip_0.1,clip_0.5,clip_1.0
0,10.64901424590337,10.731804157298804,11.594879387255638,12.658034572497538
1,10.433551933623244,10.584531848454093,11.551882498784439,12.96299701959958
2,10.644431353357032,10.632357041498926,11.62593900368628,12.51784615138463
3,10.882189505113793,10.622514965661368,11.720960455903047,12.454971225173878
4,10.330252325074682,10.508508304241516,11.55833840593614,12.658296869094022
5,10.30553691785406,10.68329356503759,11.549431462485462,12.480727750411983
6,10.824883240682844,10.570539473632424,10.911564385609747,12.30422065375261
7,10.556752775396605,10.633052803783746,11.374242902065511,12.546670039856792
8,10.161144417287067,10.608026467728903,11.476037670774792,12.166625591716068
9,10.440280385009153,10.383062619372032,11.523945967497836,12.149661700714239
10,10.114073812439589,10.558161102688993,11.070703800041523,12.145320737810309
11,10.089027899463462,10.353029434775593,11.053909725621402,12.68041693869137
12,10.277044016954891,10.508544442194783,11.05267066644851,11.279041495786384
13,9.606240424915722,10.283828988279323,11.359171118111771,12.334949048404555
14,9.638578812821754,10.329446955754797,11.481823895310495,12.197546539350864
15,9.963257918435927,10.234583060752383,11.022900562741562,11.654071874878426
16,9.804045055422904,10.410052279353696,11.39107252476367,12.22239130356868
17,10.178178854988051,10.38558274831366,11.129339063479796,12.243411183800822
18,9.787567595674636,10.16117431469762,11.028686567015368,12.248861551404419
19,9.612413620925675,10.13682682595279,10.976299935513499,11.247777258678031
20,10.451988875683607,10.179340519340085,11.237507078888504,12.4246699175649
21,9.920810320412052,10.088314074769173,11.085070876649935,11.764930841264162
22,9.985109940941214,10.264148509125535,11.461336627488322,12.16379209946776
23,9.513794448000185,10.040043281941507,10.679673401351447,12.151784818841753
24,9.754330518484931,10.015998242559336,11.064840380035728,11.638165277325196
25,9.927407405047717,9.992013240697453,10.724783388004779,12.071094739467172
26,9.525376560547343,9.968088126449514,10.596956001054844,11.729161588255131
27,9.959986611663977,9.944222750283481,10.828744785665812,11.195319493590883
28,9.643746592083842,9.920416963040674,10.847537762787544,12.139048416529715
29,9.713149341664803,10.029493157484733,11.280723213263066,11.528275471018471
30,9.59692287961671,10.072983560551238,10.69993460490912,11.476573797121217
31,10.30995369931905,10.04331099100519,10.390643649517601,11.584204532348625
32,9.727114296444977,9.825786733143685,10.786183025501309,11.759067174237845
33,9.966734808284885,10.002276666139405,10.178925816424849,11.632556131035022
34,9.93188631764553,9.778825300894866,10.62604809363475,11.78656749022964
35,9.29593562151747,9.755432490838952,10.633215172848203,11.192779649851934
36,9.701970931213708,9.732098089766529,10.841623152867074,11.344458312125518
37,9.028591072480685,9.70882195183751,10.870227995437435,11.50499140987708
38,9.195273530012786,9.685603931575962,10.402031393478232,12.081841401416387
39,9.630081786318755,9.809859930845217,10.48294155272484,11.451084337145492
40,9.769914154358219,9.71035456296232,10.273375349212355,11.783615695530003
41,9.577191981886246,9.616297127479841,10.139940880839873,11.442504347670402
42,9.468550741146185,9.59331013037991,10.546538182263113,11.258796679803917
43,9.390434115831239,9.770380528998187,10.04676608237985,11.302900942175299
44,9.014784755855054,9.54750818002459,10.279787418090253,11.299483709949675
45,9.220020208566744,9.724692940506861,10.081018630223902,11.50426188699041
46,9.275469807780377,9.50193466784968,10.519932538862223,11.708777107154942
47,9.708541785330155,9.47923321981377,10.830545629210928,11.377590395263272
48,9.472289854042113,9.456588454515007,9.915648409047735,11.599168544228416
49,8.818147002826016,9.434000230423534,9.781764954378321,10.9270339380329
50,9.422194216664392,9.611468406362873,10.21999986282553,11.065573678370935
51,9.187409474217317,9.588992841509056,10.23793691296376,10.946230229748354
52,9.077877709113826,9.566573395389726,10.274647532153365,11.231478548309193
53,9.442532227714292,9.544209927883273,10.051036120597933,11.003147693720614
54,9.546458973629129,9.321902299217951,10.10068323892075,11.30352282136667
55,9.494727535706437,9.300413602672743,10.247130973130917,10.779111686476162
56,8.941817097021268,9.277454001067822,10.425069857180318,11.045208116782057
57,9.079111830167186,9.455313053781,9.589063097214805,11.212308024810737
58,9.249601960528482,9.233227389729562,9.954563392508716,10.360676684816713
59,9.421287921350462,9.41119687087803,10.10562945971745,11.590838652055567
